ID,LAT,LON,Mills,PLT_CN,Conserve,ELEV,Ownership,SWMills,PulpMills,AVG_val_ac,TG_val_ac,BioTot,BioPulp,BioPallet,BioSaw,BioLD,L_BioTot,L_BioPulp,L_BioPallet,L_BioSaw,L_BioLD,BioForestType,BioPulpLD,L_BioPulpLD,HarvTot,HarvPulp,HarvSawlog,HarvPallet,HarvLD,HarvSawPulp,ratioTot,ratioPulp,ratioSawlog_0,ratioSawlog,ratioPallet,ratioLD,ChoiceTot,ChoicePulp,ChoiceSawlog_0,ChoiceSawlog,ChoicePallet,ChoiceLD,County,PPI(2016),PricePulp_county,PriceSaw_county,PricePallet_county,PriceBolt_county,PriceBiomass_county,PricePulp_county0,PriceSaw_county0,PricePallet_county0,PriceBolt_county0,PriceBiomass_county0,near_dist,Distance.roadsegment.,Distance.Rail.,Distance.national_highway.,Distance.State.road.,Year,Conservation_Type,Coastal,Megarion,Area_ha,Area_ac
11,44.09586,-70.42465,20,7.06E+13,0,198.866684,OTHER-PRIVATE,20,3,1048,380.9700012,135.0260441,54.77635569,1.68271593,42.88628475,37.36340361,146.9176624,55.79691977,2.39772267,44.21864951,46.90209314,Mixed,92.1397593,102.6990128,11.89161837,1.02056408,1.33236476,0.71500674,9.53868953,2.35292884,0.0809407,0.018290689,0.01476194,0.030131286,0.298202436,0.203374495,1,1,1,1,1,1,Androscoggin,5.797583082,5.55150741,32.51400034,13.06406174,17.6402104,1.575756487,0.957555473,5.60819912,2.253363438,3.042683502,0.271795413,0.373568535,0.006127118,0.021118311,0.006148118,0.149353306,2006,1,0,Southern,5761.06,14235.88229
12,44.10059,-70.34882,20,7.04E+13,0,79.797958,FAMILY,19,5,1048,380.9700012,112.7660191,45.96898961,2.211144355,21.77763651,45.01939298,100.4059327,38.75498849,1.417560725,17.8553797,43.7955645,Mixed,90.98838259,82.55055237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Androscoggin,5.797583082,6.036403664,32.51400034,13.06406174,17.6402104,1.575756487,1.041193128,5.60819912,2.253363438,3.042683502,0.271795413,0.397530705,0.006270492,0.011861866,0.006248705,0.094235406,2006,0,0,Southern,3713.5,9176.256473
13,44.14226,-70.28198,20,7.58E+13,0,78.01236,FAMILY,19,5,1048,380.9700012,230.2588809,97.33088064,9.96622025,67.1253778,65.80262243,228.6017448,100.0159526,8.92012219,64.8796217,63.70617054,Mixed,163.1335031,163.7221222,2.68507196,2.68507196,0,0,0,2.68507196,0.011745632,0.026846437,0,0,0,0,1,1,0,0,0,0,Androscoggin,5.797583082,6.108306309,32.51400034,13.06406174,17.6402104,1.575756487,1.053595304,5.60819912,2.253363438,3.042683502,0.271795413,0.424156517,0.007263133,0.068117992,0.006771751,0.103346647,2006,0,0,Southern,5063.48,12512.1253
14,44.16024,-70.34481,21,7.06E+13,0,193.875015,FAMILY,20,5,1048,380.9700012,75.5502973,22.22675906,4.288528694,10.57659267,42.74694557,45.60565173,16.38329514,2.803315725,6.636575558,22.58578104,HW,64.97370463,38.96907806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Androscoggin,5.797583082,7.359642026,44.8217918,13.06406174,17.6402104,1.575756487,1.269432783,7.731116772,2.253363438,3.042683502,0.271795413,0.049161591,0.000871409,0.062133244,0.00086307,0.141987945,2006,0,0,Southern,5734.97,14171.41747
15,44.18111,-70.05465,19,7.58E+13,0,127.838242,FAMILY,18,5,1048,380.9700012,155.8059555,45.20742831,5.920923986,23.05194548,87.54658173,164.5639401,45.50984173,5.157931538,23.20981102,95.84428739,HW,132.75401,141.354126,8.757984622,0.30241342,0.157865542,0,8.29770566,1.22327141,0.053219342,0.006645011,0.051011751,0.006801673,0,0.086574859,1,1,1,1,0,1,Androscoggin,5.797583082,7.359642026,38.13887938,13.06406174,17.6402104,1.575756487,1.269432783,6.578410149,2.253363438,3.042683502,0.271795413,0.162628055,0.001263996,0.03462918,0.002545308,0.059575555,2006,0,0,Southern,8965.02,22153.03827
16,44.18396,-70.27684,23,7.06E+13,0,111.039543,CORPORATE,22,6,1048,380.9700012,362.0943142,153.8086699,22.32100969,114.3745676,93.91107677,390.9809471,168.8425044,20.78238372,133.2484763,88.88996642,HW,247.7197467,257.7324829,33.90774324,15.0338345,18.87390874,0,0,35.44636921,0.086724797,0.08904058,0.181499457,0.141644462,0,0,1,1,1,1,0,0,Androscoggin,5.797583082,7.359642026,44.8217918,13.06406174,17.6402104,1.575756487,1.269432783,7.731116772,2.253363438,3.042683502,0.271795413,0.183539525,0.003578861,0.095207857,0.003583801,0.137345425,2006,0,0,Southern,2544.39,6287.3271
17,44.18814,-70.22256,21,7.58E+13,0,113.099548,STATE,20,6,1048,380.9700012,94.08810677,11.49305591,1.562852436,1.667730111,80.92732075,67.68648699,7.72045295,0.837395563,0.931514894,59.03451915,HW,92.42037666,66.75497437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Androscoggin,5.797583082,7.359642026,44.8217918,13.06406174,17.6402104,1.575756487,1.269432783,7.731116772,2.253363438,3.042683502,0.271795413,0.166940048,0.002695354,0.06272521,0.002711605,0.119742698,2006,0,0,Southern,6222.44,15375.98005
18,44.21095,-70.11499,20,7.06E+13,0,85.093079,FAMILY,19,5,1048,380.9700012,98.51357552,14.10752291,1.649195415,5.111384539,79.29466807,70.88113821,10.64314167,1.100590391,3.681225284,56.55677126,HW,93.40219098,67.19991302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Androscoggin,5.797583082,7.359642026,40.96242115,13.06406174,17.6402104,1.575756487,1.269432783,7.065430641,2.253363438,3.042683502,0.271795413,0.166386783,0.002415084,0.010340898,0.002842692,0.111233993,2006,0,0,Southern,5240.35,12949.18372
19,44.22578,-70.28043,23,7.06E+13,0,139.129608,NON-FOREST,22,6,1048,380.9700012,122.4398253,19.40287031,1.48625169,4.563535165,98.47341979,204.3152904,30.3801319,4.489281694,14.01026523,159.9248933,HW,117.8762901,190.3050232,81.87546516,10.97726159,9.446730064,3.003030004,61.45147351,20.42399165,0.400730973,0.361330281,0.676789329,0.674272036,0.668933297,0.384252084,1,1,1,1,1,1,Androscoggin,5.797583082,6.907034826,32.51400034,13.06406174,17.6402104,1.575756487,1.191364527,5.60819912,2.253363438,3.042683502,0.271795413,0.709501207,0.00824055,0.128172308,0.013617483,0.175435493,2006,0,0,Southern,4874.12,12044.20848
20,44.24305,-70.20974,22,7.04E+13,0,136.181046,FAMILY,21,6,1048,380.9700012,87.080052,15.12337643,1.932898109,10.88731699,61.06935858,68.41747386,12.66982053,1.033253051,7.658351951,48.08930138,HW,76.19273501,60.75912094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Androscoggin,5.797583082,7.359642026,44.8217918,13.06406174,17.6402104,1.575756487,1.269432783,7.731116772,2.253363438,3.042683502,0.271795413,0.638471961,0.007129035,0.087698407,0.012463957,0.171781389,2006,0,0,Southern,3465.73,8563.994998
