LAT,LON,COUNTY,2001_TotB,2006_TotB,2011_TotB,2016_TotB,2001_PulpB,2006_PulpB,2011_PulpB,2016_PulpB,2001_PalletB,2006_PalletB,2011_PalletB,2016_PalletB,2001_SawB,2006_SawB,2011_SawB,2016_SawB,2001_LDB,2006_LDB,2011_LDB,2016_LDB,2001_TotH,2006_TotH,2011_TotH,2016_TotH,2001_PulpH,2006_PulpH,2011_PulpH,2016_PulpH,2001_PalletH,2006_PalletH,2011_PalletH,2016_PalletH,2001_SawH,2006_SawH,2011_SawH,2016_SawH,2001_LDH,2006_LDH,2011_LDH,2016_LDH
46.91348,-68.21075,Aroostook,113.8,124.5,138.7,155.7,31.5,31.2,28.1,31.5,6.7,6.6,6,6.3,9.821793669,10.58401381,11.19359399,13.09643864,72.6,82.7,99.4,111.1,0,0,18.31969741,0,0,0,3.12145806,0,0,0,0,0,0,0,0.941242995,0,0,0,14.25699635,0
46.914496,-68.481595,Aroostook,0,83.6,23.9,52.5,0,35.2,2.4,8.2,0,10.1,0.3,1.1,0,25.43645423,0.798280163,3.423455863,0,22.9,20.7,40.9,0,NA,86.69496857,0,0,NA,43.18317339,0,0,0,13.4,0,0,NA,31.6455393,0,0,NA,11.86625588,0
46.91761,-67.95825,Aroostook,86.1,108.8,108.3,99.9,1.3,1.5,3.4,6.7,0,0,0,0,0.75500502,1.1604285,2.919503606,5.750846063,84,106.1,101.9,87.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46.9178,-68.5737,Aroostook,98.7,122.8,155.2,182.2,7.3,14.2,21.2,38.2,0.2,0.4,0.7,1,2.360388056,5.345851429,9.21663092,13.77941356,89,103.2,124.8,130.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46.91839,-68.81493,Aroostook,177.2,166.4,130,142.8,80.4,74.6,54.2,60.7,9.8,9.1,7.8,8.2,64.05550564,58.37547767,41.20137312,44.92151818,32.8,33.4,34.6,37.2,0,26.02238882,0,0,0,12.24248141,0,0,0,0,0,0,0,11.81475257,0,0,0,1.965154847,0,0
46.91904,-69.60625,Aroostook,117.7,119.8,136,165.8,38.5,36,44,54,4.5,4.8,5.2,5.8,20.33167092,23.46525419,31.77389562,40.90524341,58.9,60.3,60.2,70.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46.91936,-68.70313,Aroostook,87.8,110.1,127.5,147.4,31.4,40,47.7,55.3,0.6,0.5,1,1.6,17.93279604,22.72688329,28.61719245,32.28896645,38.4,47.3,51.2,59.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46.92165,-68.94711,Aroostook,143.4,166.8,180.9,161.8,60.3,69,67.5,74,0.6,0.9,1.2,2,10.38280236,12.74167927,10.85887674,15.18546639,72.7,85.1,102.6,72.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46.922759,-69.091753,Aroostook,0,47,81,107.1,0,6.3,17.4,33.7,0,0.4,0.4,0.6,0,1.563285894,6.934856126,20.19550205,0,39.2,56.6,53.1,0,NA,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0
46.92277,-69.17927,Aroostook,84.7,16.4,22.5,27.5,34,1.5,3.3,5.8,0,0,0,0,7.071740856,0.12460371,1.12724535,3.305090828,43.7,14.7,18,18.3,0,65.25755514,0,0,0,33.53444038,0,0,0,0,0,0,0,7.13361565,0,0,0,24.58949911,0,0
46.92364,-68.87102,Aroostook,0,186.7,195.2,206.7,0,86.5,93.4,100.4,0,9.2,9.8,10.7,0,59.27115438,65.86745053,73.2225568,0,40.9,35.9,33.1,0,NA,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0
46.924715,-69.425486,Aroostook,0,192,210.4,180.9,0,74.3,81.4,72.9,0,8.1,8.3,6.8,0,37.42736607,42.34707195,49.76692217,0,80.4,86.7,58.3,0,NA,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0
46.926195,-69.686344,Aroostook,0,23.5,42.7,73.3,0,5.3,5.8,8.5,0,0,0,0,0,1.949938463,2.286610734,3.034742188,0,16.3,34.6,61.8,0,NA,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0
46.93025,-67.9124,Aroostook,112.8,132.8,121.1,171.6,21.9,27.6,31.4,53.9,0,0,0,0.4,2.3581635,2.863391685,2.65335609,11.58937445,88.6,102.3,87.1,106.2,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA
46.93088,-68.51298,Aroostook,202.2,205.1,218.4,174.8,46.1,45.2,48.9,52.6,9.5,8.7,9.3,9.9,33.89198272,34.61224941,37.88031041,40.3953363,122.2,125.3,131.6,81.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46.93098,-69.51695,Aroostook,0,146.1,51.7,54.7,0,79.8,28.1,28.3,0,10.8,6.9,5.8,0,66.44463433,21.25323816,20.78789505,0,0,2.4,5.6,0,NA,100.7540927,0,0,NA,53.8781185,0,0,0,4.3,0,0,NA,47.55515009,0,0,NA,0,0
46.93255,-69.10096,Aroostook,97.8,112.6,122.1,119.4,17.6,29,36.9,46.5,1,0.1,0.5,1.4,5.786240381,9.649431243,17.10540852,24.37252938,74.4,74,68.1,48.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46.93538,-68.76076,Aroostook,126,103,118,131.9,47.3,41.3,46.2,49.3,1.7,2.2,2.8,3.2,41.01155013,34.79547237,37.74598173,38.59934649,37.7,26.9,34,44.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46.93604,-68.158,Aroostook,0,2.9,51.2,148.7,0,0,0,11.4,0,0,0,0,0,0,0,4.290571478,0,2.9,51.2,132.9,0,NA,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0
46.93605,-68.27647,Aroostook,0,10.6,26.4,62.4,0,0,1.4,13.9,0,0,0,0,0,0,0.421167031,7.216352631,0,10.6,24.6,41.3,0,NA,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0
46.93648,-68.38852,Aroostook,159.9,89.9,77,0,29.1,29.3,0,0,2.1,2.6,0,0,20.90791132,23.3578494,0,0,110,37.2,76.9,0,0,99.33850176,60.781142,NA,0,12.6239243,29.12343094,NA,0,1.1,2.6,0,0,10.56181123,23.34086751,NA,0,76.15276622,8.31684356,NA
46.938849,-69.240335,Aroostook,0,139.7,152.2,158.8,0,53.6,61.1,69.3,0,4.1,4.3,4.4,0,45.91990177,52.38186164,61.9552968,0,40.2,38.7,27.5,0,NA,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0
46.94179,-68.97392,Aroostook,134,42.1,80.1,103.1,50.6,2.8,7.6,10.5,0.1,0,0,0,25.46541288,1.267275625,2.373301292,5.237967268,57.9,38,70.1,87.4,0,106.0102116,0,0,0,51.69057487,0,0,0,0.1,0,0,0,26.20323371,0,0,0,28.116403,0,0
46.94489,-69.73681,Aroostook,122.7,144.1,163.7,50.5,49.2,58,64,25.2,2.7,3,3.2,3,21.79650723,26.16538576,25.6842457,21.79592754,51.6,59.9,74,3.5,0,0,0,104.9286751,0,0,0,43.77213488,0,0,0,0.2,0,0,0,6.801999391,0,0,0,54.35454083
46.9463,-69.3732,Aroostook,117.5,143,144.2,47.8,25.8,34,42.3,18.5,0.4,0.5,0.8,1.5,14.51782835,18.8711338,21.32667902,7.821514636,77.2,90.1,80.6,21.4,0,0,0,54.8646042,0,0,0,25.63054413,0,0,0,0,0,0,0,17.0205642,0,0,0,12.21349587
46.94999,-69.18779,Aroostook,67.1,78.4,88.6,83.2,28.5,34.3,38.9,34.7,7.3,8.4,8.3,6.5,18.446857,21.9401133,26.28407503,22.90942483,20.1,22.2,23.4,25.6,0,0,37.64211859,0,0,0,15.91547263,0,0,0,4.1,0,0,0,9.650403175,0,0,0,12.07624278,0
